wortart;latein;praesens;perfekt;ppp;genitiv;genus;nomsgf;nomsgn;bedeutungen;bemerkungen
Verb;persuadere;persuadeo;persuasi;persuasum;;;;;"überreden;überzeugen";
Verb;postulare;postulo;postulavi;postulatum;;;;;"verlangen;fordern";
Adjektiv;potens;;;;potentis;;potens ;potens;"mächtig;stark";
Substantiv;praeda;;;;praedae;f;;;Beute;
Substantiv;praemium;;;;praemii;n;;;"Belohnung;Auszeichnung";
Substantiv;pretium;;;;pretii;n;;;"Wert;Preis";
Adjektiv;prior;;;;;;prior;prius;"erster;früher;vorzüglicher";
Verb;prodere;prodo;prodidi;proditum;;;;;"überliefern;verraten";
Adjektiv;proprius;;;;;;propria;proprium;eigen;
Sonstiges;propter;;;;;;;;wegen;
Substantiv;puella;;;;puellae;f;;;"Mädchen;Dirne";
Verb;quaerere;quaero;quaesivi;quesitum;;;;;"suchen;fragen";
Sonstiges;quamquam;;;;;;;;obwohl;
Verb;queri;queror;questus sum;;;;;;"sich beschweren;sich beklagen";
Sonstiges;quondam;;;;;;;;einst;
Sonstiges;quoniam;;;;;;;;da ja;
Substantiv;rana;;;;ranae;f;;;Frosch;
Verb;redire;redeo;redii;reditum;;;;;zurückkehren;
Verb;repellere;repello;reppuli;repulsum;;;;;"abweisen;zurückweisen;zurückstoßen";
Substantiv;rivus;;;;rivi;m;;;Bach;
Substantiv;rostrum;;;;rostri;n;;;Schnabel;
Sonstiges;rursus;;;;;;;;"wieder;wiederum";
Substantiv;sedes;;;;sedis ;f;;;Sitz;
Verb;sentire;sentio;sensi;sensum;;;;;"fühlen;empfinden";
Adjektiv;similis;;;;;;similis;simile;ähnlich;
Substantiv;simulacrum;;;;simulacri;n;;;Bild;
Substantiv;sitis;;;;sitis;f;;;Durst;
Substantiv;speculum;;;;speculi;n;;;Spiegel;
Adjektiv;stultus;;;;;;stulta;stultum;dumm;
Substantiv;superbia;;;;superbiae;f;;;"Hochmut;Stolz";
Adjektiv;superior;;;;;;superior;superius;höher;
Verb;sustinere;sustineo;sustinui;;;;;;"ertragen;auf sich nehmen";
Sonstiges;tamen;;;;;;;;"dennoch;jedoch";
Verb;tangere;tango;tetigi;tactum;;;;;"berühren;ergreifen";
Verb;tollere;tollo;sustuli;sublatum;;;;;"aufheben;erheben;beseitigen";
Verb;torquere;torqueo;torsi;tortum;;;;;quälen;
Adjektiv;tristis;;;;;;tristis;triste;"traurig;schmerzlich";
Sonstiges;tunc;;;;;;;;"da;dann;darauf";
Substantiv;uva;;;;uvae;f;;;Weintraube;
Adjektiv;validus;;;;;;valida;validum;stark;
Substantiv;veritas;;;;veritatis;f;;;Wahrheit;
Sonstiges;vero;;;;;;;;aber;
Substantiv;vox;;;;vocis;f;;;Stimme;
Substantiv;vulpes;;;;vulpis;f;;;Fuchs;
Substantiv;vultus;;;;vultus ;m;;;Gesicht;
